periodo;atrasomax6;Malo;NivelRiesgo;ClienteNuevo;ML_Score;VZ_score_3t;NS_scoret;SI_Scoret;Score_Alt;Nos_Fintech
202303;0;0;Bajo;0;574;728;622;557;611;488
202471;0;1;Muy Alto;0;747;331;662;673;464;468
202307;29;1;Alto;0;618;455;417;529;594;590
202272;0;0;Medio;0;684;735;554;868;690;717
202389;25;1;Medio;1;616;556;658;693;455;684
202221;0;0;Muy Bajo;0;702;543;473;572;479;574
202303;36;0;Bajo;1;527;401;608;501;618;534
202322;28;0;Medio;0;758;544;366;674;785;577
202415;0;1;Medio;1;672;453;616;460;639;419
202288;0;0;Bajo;1;441;439;338;614;577;275
202300;0;1;Muy Alto;0;366;506;487;565;631;490
202352;0;0;Medio;0;365;668;688;468;726;636
202331;6;0;Bajo;0;513;548;608;602;610;433
202350;0;0;Muy Bajo;1;281;405;642;951;708;655
202458;48;0;Bajo;0;595;522;350;556;587;392
202494;54;1;Alto;0;578;677;624;474;431;429
202392;11;0;Bajo;0;447;610;542;774;757;529
202477;0;0;Alto;0;445;526;534;700;644;367
202361;0;0;Medio;0;430;534;553;423;597;570
202222;25;0;Bajo;1;491;856;303;528;508;425
202453;52;0;Medio;0;631;660;731;528;612;527
202436;0;0;Medio;0;749;482;533;743;759;611
202249;0;0;Muy Bajo;0;595;374;714;843;575;261
202259;0;0;Medio;0;686;629;470;433;498;674
202370;27;0;Bajo;1;786;294;548;632;422;468
202388;9;1;Alto;0;657;690;494;648;663;541
202471;0;0;Muy Bajo;1;489;447;521;381;421;692
202390;0;0;Bajo;0;616;435;453;599;507;454
202375;0;0;Bajo;0;693;574;306;429;555;690
202251;10;0;Muy Bajo;0;492;471;904;487;454;491
202255;18;1;Medio;1;568;662;707;288;536;797
202444;25;1;Medio;0;696;688;781;755;631;705
202331;0;1;Medio;0;616;449;420;808;692;583
202335;0;1;Medio;0;662;384;391;695;368;551
202221;22;1;Muy Alto;1;791;678;496;669;575;643
202367;55;0;Medio;0;756;569;737;476;742;558
202474;0;1;Muy Alto;0;573;540;455;565;395;523
202289;0;0;Medio;0;725;218;728;573;745;596
202214;0;1;Muy Alto;1;395;511;212;719;705;549
202442;0;0;Bajo;1;723;757;637;669;536;604
202465;0;0;Alto;0;593;635;641;495;695;673
202253;0;0;Bajo;1;485;324;568;627;678;537
202292;0;0;Bajo;0;581;549;523;886;386;508
202464;67;0;Alto;0;518;638;475;750;688;412
202235;0;0;Medio;1;662;530;501;591;613;366
202406;0;0;Bajo;0;861;508;667;480;500;552
202281;0;0;Bajo;0;437;428;672;621;691;388
202250;150;0;Alto;0;557;514;626;696;661;438
202202;0;1;Medio;0;755;665;714;528;661;174
202254;155;1;Medio;0;700;504;451;749;598;655
202306;11;1;Bajo;0;505;431;734;467;552;442
202460;0;1;Muy Alto;0;511;490;465;511;547;318
202391;35;0;Alto;1;538;394;631;462;690;653
202418;0;0;Alto;0;495;584;540;404;699;336
202244;0;0;Bajo;0;841;567;776;833;730;404
202362;17;1;Muy Alto;0;575;685;433;540;231;525
202402;19;0;Medio;0;784;517;555;508;637;411
202470;22;0;Muy Bajo;1;663;607;672;686;455;451
202471;17;1;Muy Bajo;0;722;512;428;719;483;459
202415;0;0;Medio;1;602;688;461;547;526;512
202452;4;0;Muy Bajo;0;532;453;412;572;805;549
202390;35;1;Alto;0;531;465;427;558;342;549
202496;7;0;Medio;0;872;425;871;639;451;455
202413;0;0;Bajo;1;781;526;412;462;570;566
202408;0;0;Medio;0;560;506;687;508;590;502
202437;0;1;Medio;1;632;645;542;557;841;442
202253;0;0;Muy Bajo;0;772;537;617;504;680;471
202480;0;0;Alto;0;971;399;924;707;616;535
202417;0;0;Bajo;0;504;668;323;665;693;379
202452;0;0;Muy Alto;0;625;786;607;592;702;547
202388;0;0;Bajo;0;472;546;677;662;307;518
202241;0;1;Alto;0;697;658;724;558;490;605
202357;0;0;Alto;0;804;624;753;866;476;527
202215;0;0;Medio;0;487;538;432;801;639;584
202265;30;0;Muy Alto;0;640;496;664;882;670;509
202209;50;1;Muy Alto;1;515;675;431;454;862;478
202329;0;0;Bajo;1;586;609;328;522;333;563
202336;55;0;Medio;0;736;613;725;562;685;504
202263;0;1;Muy Alto;1;791;652;533;507;566;438
202339;0;0;Medio;0;522;554;586;583;629;419
202281;16;0;Medio;1;610;719;723;676;796;376
202363;67;0;Bajo;0;790;511;446;423;660;361
202489;2;0;Muy Bajo;0;496;425;493;563;562;410
202461;0;1;Bajo;0;414;579;530;751;500;508
202431;0;0;Bajo;0;590;628;427;603;740;467
202241;0;0;Alto;0;884;714;590;897;621;496
202228;0;1;Alto;1;709;626;640;580;631;503
202335;0;0;Bajo;1;574;668;645;519;581;343
202401;0;1;Muy Alto;1;651;511;388;619;525;410
202468;0;1;Muy Alto;0;850;569;374;536;643;487
202233;0;0;Medio;0;882;515;685;764;512;525
202248;0;0;Medio;0;502;762;433;249;605;538
202262;0;1;Medio;0;360;550;757;882;716;464
202416;0;0;Bajo;1;529;458;659;716;661;271
202493;138;0;Medio;0;687;554;627;723;560;352
202299;1;1;Muy Alto;1;728;468;500;440;620;568
202372;0;1;Alto;1;485;583;584;490;625;524
202414;0;0;Bajo;0;373;525;596;672;808;412
202235;0;0;Muy Bajo;0;403;381;819;653;315;572
202427;0;0;Medio;0;557;639;544;685;437;521
202301;0;1;Medio;1;666;663;595;711;624;524
202331;0;1;Muy Bajo;0;481;576;605;693;522;602
202457;0;0;Bajo;0;194;523;630;494;863;575
202205;0;1;Muy Alto;0;448;509;773;631;584;348
202418;0;0;Bajo;1;517;552;629;566;586;306
202455;84;0;Medio;0;740;718;463;681;657;468
202483;0;1;Muy Alto;0;666;531;568;500;627;464
202407;103;0;Medio;0;542;489;457;755;608;708
202215;1;0;Alto;0;446;497;572;790;593;460
202242;0;1;Alto;0;549;493;536;576;572;611
202379;0;1;Alto;1;661;736;406;759;719;612
202263;0;1;Medio;0;539;416;694;301;547;554
202431;0;0;Alto;0;661;653;331;650;595;575
202441;0;0;Medio;0;730;489;665;823;811;487
202252;0;1;Medio;0;611;574;452;456;676;376
202296;0;0;Muy Alto;1;885;658;553;385;610;520
202422;0;1;Bajo;1;691;619;472;676;554;649
202431;0;1;Medio;0;1000;484;490;495;487;607
202437;69;1;Muy Alto;1;452;440;383;507;674;503
202343;44;1;Alto;1;821;514;564;433;601;609
202371;28;0;Bajo;0;541;455;504;389;553;383
202229;0;0;Muy Bajo;0;697;665;649;651;427;556
202236;0;0;Bajo;0;586;513;652;658;654;552
202213;0;0;Bajo;1;645;613;354;557;740;600
202360;65;0;Muy Bajo;0;425;570;774;377;482;521
202387;28;1;Medio;0;535;602;350;701;664;375
202443;0;1;Alto;1;473;535;724;593;761;489
202286;12;0;Bajo;1;513;392;640;587;467;418
202484;33;1;Muy Alto;0;825;443;503;809;612;438
202266;0;1;Muy Alto;1;870;520;561;436;571;309
202370;32;0;Medio;1;872;517;783;654;486;457
202245;0;1;Alto;1;504;360;450;634;493;577
202262;0;0;Bajo;0;621;554;773;694;456;451
202334;0;1;Muy Alto;1;631;545;647;629;480;435
202484;0;1;Muy Alto;0;460;564;712;668;668;338
202228;141;1;Alto;1;728;435;680;597;807;546
202308;30;0;Bajo;0;732;680;677;825;588;593
202244;0;0;Muy Alto;0;501;638;629;500;601;483
202486;0;1;Medio;1;393;558;844;507;481;479
202328;2;0;Muy Bajo;1;595;584;632;547;498;552
202431;0;1;Alto;0;584;659;513;671;582;647
202390;0;1;Muy Alto;0;234;448;639;486;432;692
202425;3;1;Medio;0;1000;489;546;444;479;350
202483;0;1;Muy Alto;0;397;477;621;721;509;516
202321;24;1;Muy Alto;1;786;417;553;630;783;595
202316;0;0;Alto;1;571;637;516;629;445;529
202433;0;1;Alto;0;649;730;431;552;553;422
202459;0;0;Bajo;1;575;526;671;710;680;462
202398;1;0;Medio;0;275;683;703;450;575;556
202337;9;0;Muy Bajo;0;677;409;277;600;679;547
202365;0;0;Muy Bajo;0;730;496;583;507;513;655
202425;0;1;Alto;0;760;598;517;657;596;643
202434;0;0;Bajo;1;651;600;444;533;435;462
202372;15;0;Muy Bajo;1;538;429;575;393;558;475
202352;0;1;Medio;0;728;422;628;432;553;478
202360;0;0;Bajo;1;724;450;565;571;768;520
202296;0;0;Muy Bajo;0;805;450;381;686;611;516
202433;28;1;Alto;0;470;669;456;848;672;652
